region,raw_role_title,global_role_id,standardized_role,normalized_skills,semantic_skill_hints,role_match_details,core_skill_overlap,local_education_level,confidence_score,confidence_tier,cross_market_matches,economic_signals,semantic_matching_status,explanation
US,Junior Data Analyst,GR-DATA-001,Data Analyst – Entry,"[""Excel"", ""SQL"", ""Python"", ""Dashboarding""]",[],"[{""role_id"": ""GR-DATA-001"", ""role_title"": ""Data Analyst"", ""role_level"": ""Entry"", ""signal_score"": 4, ""semantic_score"": 0.6866, ""hybrid_score"": 6.403, ""match_basis"": ""hybrid_rule_and_semantic""}]",3,Bachelor's Degree,99,High,"[{""region"": ""Ghana"", ""equivalent_role"": ""MIS / Reporting Analyst (banking, telco)""}, {""region"": ""Nigeria"", ""equivalent_role"": ""Insights Analyst (fintech, NGO M&E)""}, {""region"": ""Philippines"", ""equivalent_role"": ""MIS Specialist / Reports Analyst (shared services)""}]",,"{""enabled"": true, ""package_installed"": true, ""model_name"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""model_loaded"": true, ""load_attempted"": true, ""load_error"": null, ""offline_mode"": false, ""role_threshold"": 0.32, ""fallback_threshold"": 0.24, ""skill_threshold"": 0.36, ""similarity_weight"": 3.5}","Mapped because matched 4 role signal(s) for Data Analyst; detected skill terms: excel, sql, python, pandas, tableau; 3/4 core skill(s) present."
US,Numbers Guy / Reporting,GR-DATA-001,Data Analyst – Entry,"[""Excel"", ""SQL"", ""CRM""]",[],"[{""role_id"": ""GR-DATA-001"", ""role_title"": ""Data Analyst"", ""role_level"": ""Entry"", ""signal_score"": 1, ""semantic_score"": 0.3988, ""hybrid_score"": 2.3959, ""match_basis"": ""hybrid_rule_and_semantic""}]",2,Associate's Degree,75,Medium,"[{""region"": ""Ghana"", ""equivalent_role"": ""MIS / Reporting Analyst (banking, telco)""}, {""region"": ""Nigeria"", ""equivalent_role"": ""Insights Analyst (fintech, NGO M&E)""}, {""region"": ""Philippines"", ""equivalent_role"": ""MIS Specialist / Reports Analyst (shared services)""}]",,"{""enabled"": true, ""package_installed"": true, ""model_name"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""model_loaded"": true, ""load_attempted"": true, ""load_error"": null, ""offline_mode"": false, ""role_threshold"": 0.32, ""fallback_threshold"": 0.24, ""skill_threshold"": 0.36, ""similarity_weight"": 3.5}","Mapped because matched 1 role signal(s) for Data Analyst; detected skill terms: excel, sql, salesforce; 2/4 core skill(s) present."
US,BI Analyst I,GR-DATA-001,Data Analyst – Entry,"[""SQL"", ""Dashboarding"", ""ETL/Pipelines"", ""Statistical Modeling""]","[{""canonical_skill"": ""Excel"", ""semantic_score"": 0.3639, ""example_phrases"": [""excel"", ""vlookup"", ""pivot"", ""spreadsheet"", ""googlesheets""]}]","[{""role_id"": ""GR-DATA-001"", ""role_title"": ""Data Analyst"", ""role_level"": ""Entry"", ""signal_score"": 4, ""semantic_score"": 0.5666, ""hybrid_score"": 5.9832, ""match_basis"": ""hybrid_rule_and_semantic""}]",2,Bachelor's Degree,96,High,"[{""region"": ""Ghana"", ""equivalent_role"": ""MIS / Reporting Analyst (banking, telco)""}, {""region"": ""Nigeria"", ""equivalent_role"": ""Insights Analyst (fintech, NGO M&E)""}, {""region"": ""Philippines"", ""equivalent_role"": ""MIS Specialist / Reports Analyst (shared services)""}]",,"{""enabled"": true, ""package_installed"": true, ""model_name"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""model_loaded"": true, ""load_attempted"": true, ""load_error"": null, ""offline_mode"": false, ""role_threshold"": 0.32, ""fallback_threshold"": 0.24, ""skill_threshold"": 0.36, ""similarity_weight"": 3.5}","Mapped because matched 4 role signal(s) for Data Analyst; detected skill terms: sql, power bi, dashboard, dbt, etl...; 2/4 core skill(s) present."
US,Financial Analyst - Entry,GR-FIN-001,Finance Operations Associate – Entry,"[""Excel"", ""Accounting Software"", ""Financial Modeling""]",[],"[{""role_id"": ""GR-FIN-001"", ""role_title"": ""Finance Operations Associate"", ""role_level"": ""Entry"", ""signal_score"": 2, ""semantic_score"": 0.5154, ""hybrid_score"": 3.8039, ""match_basis"": ""hybrid_rule_and_semantic""}]",2,Bachelor's Degree (Finance),83,Medium,"[{""region"": ""Ghana"", ""equivalent_role"": ""Account Officer (Tally/Sage)""}, {""region"": ""Nigeria"", ""equivalent_role"": ""Account Officer / Banking ops""}, {""region"": ""Philippines"", ""equivalent_role"": ""Junior Accountant (QuickBooks/Xero)""}]",,"{""enabled"": true, ""package_installed"": true, ""model_name"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""model_loaded"": true, ""load_attempted"": true, ""load_error"": null, ""offline_mode"": false, ""role_threshold"": 0.32, ""fallback_threshold"": 0.24, ""skill_threshold"": 0.36, ""similarity_weight"": 3.5}","Mapped because matched 2 role signal(s) for Finance Operations Associate; detected skill terms: excel, netsuite, fp&a, modeling, variance; 2/4 core skill(s) present."
US,Operations Data Coordinator,GR-OPS-001,Operations Data Coordinator – Entry,"[""Excel"", ""Python""]","[{""canonical_skill"": ""Process Documentation"", ""semantic_score"": 0.4081, ""example_phrases"": [""order logs"", ""order tracking""]}]","[{""role_id"": ""GR-OPS-001"", ""role_title"": ""Operations Data Coordinator"", ""role_level"": ""Entry"", ""signal_score"": 1, ""semantic_score"": 0.5978, ""hybrid_score"": 3.0921, ""match_basis"": ""hybrid_rule_and_semantic""}]",1,GED + some college,64,Low,"[{""region"": ""Ghana"", ""equivalent_role"": ""Operations clerk / NGO data entry""}, {""region"": ""Nigeria"", ""equivalent_role"": ""OND-track operations clerk / NGO M&E""}, {""region"": ""Philippines"", ""equivalent_role"": ""Encoder / barangay clerical / shared services""}]",,"{""enabled"": true, ""package_installed"": true, ""model_name"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""model_loaded"": true, ""load_attempted"": true, ""load_error"": null, ""offline_mode"": false, ""role_threshold"": 0.32, ""fallback_threshold"": 0.24, ""skill_threshold"": 0.36, ""similarity_weight"": 3.5}","Mapped because matched 1 role signal(s) for Operations Data Coordinator; detected skill terms: googlesheets, python; 1/4 core skill(s) present."
US,Marketing Insights Associate,GR-DATA-001,Data Analyst – Entry,"[""SQL"", ""Dashboarding"", ""Product Analytics""]",[],"[{""role_id"": ""GR-DATA-001"", ""role_title"": ""Data Analyst"", ""role_level"": ""Entry"", ""signal_score"": 5, ""semantic_score"": 0.4657, ""hybrid_score"": 6.63, ""match_basis"": ""hybrid_rule_and_semantic""}]",2,Bachelor's Degree,91,High,"[{""region"": ""Ghana"", ""equivalent_role"": ""MIS / Reporting Analyst (banking, telco)""}, {""region"": ""Nigeria"", ""equivalent_role"": ""Insights Analyst (fintech, NGO M&E)""}, {""region"": ""Philippines"", ""equivalent_role"": ""MIS Specialist / Reports Analyst (shared services)""}]",,"{""enabled"": true, ""package_installed"": true, ""model_name"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""model_loaded"": true, ""load_attempted"": true, ""load_error"": null, ""offline_mode"": false, ""role_threshold"": 0.32, ""fallback_threshold"": 0.24, ""skill_threshold"": 0.36, ""similarity_weight"": 3.5}","Mapped because matched 5 role signal(s) for Data Analyst; detected skill terms: sql, bigquery, looker, ga4, segment; 2/4 core skill(s) present."
US,Sales Ops Analyst,GR-DATA-001,Data Analyst – Entry,"[""Excel"", ""SQL"", ""Financial Modeling"", ""CRM""]",[],"[{""role_id"": ""GR-DATA-001"", ""role_title"": ""Data Analyst"", ""role_level"": ""Entry"", ""signal_score"": 1, ""semantic_score"": 0.4815, ""hybrid_score"": 2.6851, ""match_basis"": ""hybrid_rule_and_semantic""}]",2,Bachelor's Degree,80,Medium,"[{""region"": ""Ghana"", ""equivalent_role"": ""MIS / Reporting Analyst (banking, telco)""}, {""region"": ""Nigeria"", ""equivalent_role"": ""Insights Analyst (fintech, NGO M&E)""}, {""region"": ""Philippines"", ""equivalent_role"": ""MIS Specialist / Reports Analyst (shared services)""}]",,"{""enabled"": true, ""package_installed"": true, ""model_name"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""model_loaded"": true, ""load_attempted"": true, ""load_error"": null, ""offline_mode"": false, ""role_threshold"": 0.32, ""fallback_threshold"": 0.24, ""skill_threshold"": 0.36, ""similarity_weight"": 3.5}","Mapped because matched 1 role signal(s) for Data Analyst; detected skill terms: excel, sql, snowflake, modeling, salesforce...; 2/4 core skill(s) present."
US,Quant Research Intern,GR-DATA-001,Data Analyst – Entry,"[""Python"", ""R"", ""Financial Modeling"", ""Statistical Modeling""]",[],"[{""role_id"": ""GR-DATA-001"", ""role_title"": ""Data Analyst"", ""role_level"": ""Entry"", ""signal_score"": 0, ""semantic_score"": 0.42, ""hybrid_score"": 1.4699, ""match_basis"": ""semantic_only""}]",0,MS in progress,60,Low,"[{""region"": ""Ghana"", ""equivalent_role"": ""MIS / Reporting Analyst (banking, telco)""}, {""region"": ""Nigeria"", ""equivalent_role"": ""Insights Analyst (fintech, NGO M&E)""}, {""region"": ""Philippines"", ""equivalent_role"": ""MIS Specialist / Reports Analyst (shared services)""}]",,"{""enabled"": true, ""package_installed"": true, ""model_name"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""model_loaded"": true, ""load_attempted"": true, ""load_error"": null, ""offline_mode"": false, ""role_threshold"": 0.32, ""fallback_threshold"": 0.24, ""skill_threshold"": 0.36, ""similarity_weight"": 3.5}","Mapped because detected skill terms: python, jupyter, r, modeling, statistical."
US,Bookkeeper / Office Admin,GR-FIN-001,Finance Operations Associate – Entry,"[""Excel"", ""Accounting Software""]",[],"[{""role_id"": ""GR-FIN-001"", ""role_title"": ""Finance Operations Associate"", ""role_level"": ""Entry"", ""signal_score"": 3, ""semantic_score"": 0.5509, ""hybrid_score"": 4.9281, ""match_basis"": ""hybrid_rule_and_semantic""}]",2,High School Diploma,86,High,"[{""region"": ""Ghana"", ""equivalent_role"": ""Account Officer (Tally/Sage)""}, {""region"": ""Nigeria"", ""equivalent_role"": ""Account Officer / Banking ops""}, {""region"": ""Philippines"", ""equivalent_role"": ""Junior Accountant (QuickBooks/Xero)""}]",,"{""enabled"": true, ""package_installed"": true, ""model_name"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""model_loaded"": true, ""load_attempted"": true, ""load_error"": null, ""offline_mode"": false, ""role_threshold"": 0.32, ""fallback_threshold"": 0.24, ""skill_threshold"": 0.36, ""similarity_weight"": 3.5}","Mapped because matched 3 role signal(s) for Finance Operations Associate; detected skill terms: excel, quickbooks; 2/4 core skill(s) present."
US,Data Engineer Jr,GR-DATA-001,Data Analyst – Entry,"[""SQL"", ""Python"", ""ETL/Pipelines""]","[{""canonical_skill"": ""Excel"", ""semantic_score"": 0.3783, ""example_phrases"": [""excel"", ""vlookup"", ""pivot"", ""spreadsheet"", ""googlesheets""]}]","[{""role_id"": ""GR-DATA-001"", ""role_title"": ""Data Analyst"", ""role_level"": ""Entry"", ""signal_score"": 1, ""semantic_score"": 0.6007, ""hybrid_score"": 3.1026, ""match_basis"": ""hybrid_rule_and_semantic""}]",1,Bachelor's Degree (CS),69,Medium,"[{""region"": ""Ghana"", ""equivalent_role"": ""MIS / Reporting Analyst (banking, telco)""}, {""region"": ""Nigeria"", ""equivalent_role"": ""Insights Analyst (fintech, NGO M&E)""}, {""region"": ""Philippines"", ""equivalent_role"": ""MIS Specialist / Reports Analyst (shared services)""}]",,"{""enabled"": true, ""package_installed"": true, ""model_name"": ""sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"", ""model_loaded"": true, ""load_attempted"": true, ""load_error"": null, ""offline_mode"": false, ""role_threshold"": 0.32, ""fallback_threshold"": 0.24, ""skill_threshold"": 0.36, ""similarity_weight"": 3.5}","Mapped because matched 1 role signal(s) for Data Analyst; detected skill terms: sql, snowflake, python, airflow, dbt; 1/4 core skill(s) present."
