country,role,opportunity_label,type,entry_barrier,typical_pathway
Ghana,Device Repair Technician,Phone Repair Stall Operator,self-employment,low,apprenticeship + self-taught
Ghana,Device Repair Technician,Electronics Apprentice (formal shop),employment (small shop),low,apprenticeship pathway
Ghana,Digital Support Assistant,WhatsApp Business Assistant,gig,low,self-taught + platform onboarding
Ghana,Digital Support Assistant,Junior Remote Support (outsourced),employment (remote),medium,English upskilling + interview prep
Ghana,Mobile Money Agent,MTN MoMo / Vodafone Cash Agent,self-employment,low,agent registration + on-the-job
Ghana,Operations Data Coordinator,Office Clerk / NGO Data Entry,employment,medium,Excel + typing speed + interview
Ghana,Finance Operations Associate,Account Officer (Tally/Sage),employment,medium,ICAG partial + cloud accounting
Ghana,Microenterprise Operator,Market Vendor / WhatsApp Trader,self-employment,low,starter capital + mobile money setup
Ghana,Junior Web Support / No-Code Assistant,WordPress Freelancer,gig,medium,portfolio + Upwork onboarding
Nigeria,Device Repair Technician,Computer Village Repair Tech,self-employment,low,apprenticeship + self-taught
Nigeria,Digital Support Assistant,Remote Customer Support Agent,employment (remote),medium,English + stable internet
Nigeria,Mobile Money Agent,Opay / Paga / Moniepoint Agent,self-employment,low,agent network registration
Nigeria,Operations Data Coordinator,OND-track Operations Clerk,employment,medium,Excel + basic SQL upskilling
Nigeria,Operations Data Coordinator,NGO M&E Data Entry,employment (short-term contract),medium,KoboToolbox + reporting
Nigeria,Customer Support / BPO Agent,BPO Entry Agent (Lagos/Abuja),employment,medium,English fluency + typing test
Nigeria,Finance Operations Associate,Account Officer (banking ops),employment,medium,ICAN partial + Excel modeling
Nigeria,Microenterprise Operator,Market Trader / Instagram Vendor,self-employment,low,starter capital + mobile money
Nigeria,Junior Web Support / No-Code Assistant,WordPress Freelancer / Andela-track,gig,medium,portfolio + bootcamp
Philippines,Customer Support / BPO Agent,BPO Voice Account Agent,employment,medium,SHS + BPO training pipeline
Philippines,Customer Support / BPO Agent,Healthcare BPO Agent,employment,medium,industry cert + interview
Philippines,Digital Support Assistant,Virtual Assistant (Shopify VA),gig,low,OnlineJobs.ph onboarding + portfolio
Philippines,Junior Web Support / No-Code Assistant,Webflow / Shopify Freelancer,gig,medium,portfolio + Upwork/Toptal onboarding
Philippines,Operations Data Coordinator,Encoder / Barangay Clerical,employment,low,typing speed + records experience
Philippines,Operations Data Coordinator,Shared Services Encoder,employment,medium,Bachelor's preferred + Excel
Philippines,Finance Operations Associate,Junior Accountant (QuickBooks/Xero),employment,medium,CPA review + cloud accounting
Philippines,Microenterprise Operator,Sari-sari Operator / Shopee Seller,self-employment,low,starter capital + e-commerce setup
Philippines,Device Repair Technician,Provincial IT Support / Repair,self-employment,low,TESDA NC II optional + apprenticeship
Colombia,Device Repair Technician,Neighborhood Phone Repair Technician (local label: tecnico de celulares),self-employment,low,apprenticeship + self-taught + supplier network
Colombia,Digital Support Assistant,WhatsApp Sales Assistant,gig,low,self-taught + business messaging workflow
Colombia,Microenterprise Operator,WhatsApp / Mercado Libre Seller,self-employment,low,starter stock + digital catalog setup
Peru,Device Repair Technician,Gallery Phone Repair Technician (local label: tecnico de celulares),self-employment,low,apprenticeship + component sourcing
Peru,Operations Data Coordinator,Administrative Assistant / Data Clerk,employment,medium,Excel + records experience + interview
Peru,Microenterprise Operator,Neighborhood Shop Seller (Yape / Plin),self-employment,low,neighborhood customer base + digital payments
Guatemala,Customer Support / BPO Agent,Entry Call Center Agent,employment,medium,English upskilling + typing test
Guatemala,Digital Support Assistant,Facebook / WhatsApp Support Assistant,gig,low,portfolio + customer chat workflow
Guatemala,Microenterprise Operator,Facebook Marketplace Microenterprise Seller,self-employment,low,starter stock + mobile coordination
Guatemala,Device Repair Technician,Neighborhood Device Repair Assistant,employment (small shop),low,apprenticeship + practical troubleshooting
Colombia,Operations Data Coordinator,E-commerce Order Coordinator,employment,medium,Excel + WhatsApp order handling + fulfillment desk experience
Colombia,Customer Support / BPO Agent,Nearshore Support Associate (Spanish-English),employment,medium,English upskilling + CRM interview prep
Peru,Digital Support Assistant,Catalog and WhatsApp Sales Assistant,gig,low,phone-first commerce + customer follow-up + Canva basics
Peru,Finance Operations Associate,Junior Bookkeeping Assistant,employment,medium,Excel + invoicing + institute credential
Guatemala,Operations Data Coordinator,Back-Office Records Assistant,employment,medium,Excel + document handling + typing test
Guatemala,Finance Operations Associate,Small Business Bookkeeping Assistant,employment (small shop),medium,Excel + cash reconciliation + local references
